"netease_id","qq_id","name","artist","album","ne_name","ne_artist","qq_name","qq_artist","match_source","synced"
"188647","1833621","她来听我的演唱会","张学友","友情歌","她来听我的演唱会","张学友","","","manual","1"
"1897084229","333513700","残響散歌","Aimer","残響散歌","残響散歌","Aimer","残響散歌","Aimer","manual","1"
"1900024768","335638750","歌者","谭维维","歌者","歌者","谭维维","歌者","谭维维","manual","1"
"1911281594","431115590","どうして","高瀬統也","どうして (feat. 野田愛実)","どうして","高瀬統也","どうして (feat. 野田愛実)","高瀬統也","manual","1"
"1911377814","585767497","鸳鸯债","Uri","纸嫁衣3鸳鸯债","鸳鸯债","Uri","","","manual","1"
"191254","273032704","天下","张杰","明天过后","天下","张杰","天下","张杰","manual","1"
"1942372651","353997738","M八七","米津玄師","M八七","M八七","米津玄師","","","manual","1"
"19542337","1783988","Hall of Fame","The Script","#3 Deluxe Version","Hall of Fame","The Script","","","manual","1"
"1954956658","332562324","剑魂","汪苏泷","剑魂","剑魂","汪苏泷","剑魂","汪苏泷","manual","1"
"1956534872","369482028","花の塔","さユり","花の塔","花の塔","さユり","花の塔","さユり","manual","1"
"1969519579","369997972","可愛くてごめん (feat. かぴ)","HoneyWorks","告白実行委員会 -FLYING SONGS- 恋してる","可愛くてごめん (feat. かぴ)","HoneyWorks","可愛くてごめん (feat. かぴ)","HoneyWorks","manual","1"
"1983292457","376343869","祝福","YOASOBI","祝福","祝福","YOASOBI","祝福","YOASOBI","manual","1"
"1983527215","376794891","青春コンプレックス","結束バンド","青春コンプレックス","青春コンプレックス","結束バンド","青春コンプレックス","結束バンド","manual","1"
"1983593929","376407868","STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)","STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X","STAR WALKIN'","Lil Nas X","manual","1"
"1984892291","376959725","Celestial","Ed Sheeran","Celestial","Celestial","Ed Sheeran","Celestial","Ed Sheeran","manual","1"
"1991012773","379746169","ギターと孤独と蒼い惑星","結束バンド","ギターと孤独と蒼い惑星","ギターと孤独と蒼い惑星","結束バンド","ギターと孤独と蒼い惑星","結束バンド","manual","1"
"2004999754","387674138","面壁者","G.E.M.邓紫棋","面壁者","面壁者","G.E.M.邓紫棋","","","manual","1"
"2014291207","391610675","人是_","周深","人是_","人是_","周深","人是_","周深","manual","1"
"2014337720","391630674","THREE-BODY","重塑雕像的权利","THREE-BODY","THREE-BODY","重塑雕像的权利","THREE-BODY (三体)","重塑雕像的权利","manual","1"
"2015555289","473951435","时间的尽头-陈雪燃","艾菊KonA.","时间的尽头Chak，时间的尽头KonA.，时间的尽头电视剧《三体》电视剧中文主题曲","时间的尽头-陈雪燃","艾菊KonA.","","","manual","1"
"2034742057","403181955","アイドル","YOASOBI","アイドル","アイドル","YOASOBI","アイドル","YOASOBI","manual","1"
"2036803051","409392599","メフィスト","女王蜂","メフィスト","メフィスト","女王蜂","メフィスト","女王蜂","manual","1"
"2061978961","420627190","离别开出花","就是南方凯","离别开出花","离别开出花","就是南方凯","离别开出花","就是南方凯","manual","1"
"2062746061","421186315","flowers","Hana Hope","flowers","flowers","Hana Hope","flowers","Hana Hope","manual","1"
"2065210967","426909707","僕らのスペクトラ","きただにひろし","僕らのスペクトラ","僕らのスペクトラ","きただにひろし","僕らのスペクトラ","きただにひろし","manual","1"
"2067068109","424728186","旅人","罗云熙","旅人","旅人","罗云熙","旅人","罗云熙","manual","1"
"20789751","2836092","Roundabout","Yes","Yesstory","Roundabout","Yes","Roundabout","Yes","manual","1"
"2084034562","438021880","Anytime Anywhere","milet","Anytime Anywhere","Anytime Anywhere","milet","Anytime Anywhere","milet","manual","1"
"2088507144","439495286","GODS","NewJeans","GODS","GODS","NewJeans","登神 (GODS)","NewJeans","manual","1"
"2097486090","443654270","春日影 (MyGO!!!!! ver.)","MyGO!!!!!","迷跡波","春日影 (MyGO!!!!! ver.)","MyGO!!!!!","春日影","MyGO!!!!!","manual","1"
